Negeri,2014,2015,2016,2017,2018,2019
Johor,1992,2541,2565,2108,2352,2371
Kedah,2535,2945,3862,2655,2693,3582
Kelantan,1399,1994,3233,3700,4153,2998
Melaka,845,944,930,613,736,819
N.Sembilan,951,1050,1172,1012,1374,1244
Pahang,1903,2066,2419,2088,1749,1672
P.Pinang,2780,4280,5081,3844,2303,2893
Perak,2716,3106,2639,1557,1820,2046
Perlis,499,781,692,654,582,316
Selangor,2051,2987,3176,2375,2228,2385
Terengganu,579,1022,1676,2044,2057,2123
Sabah,940,898,1044,1047,1200,1574
Sarawak,854,658,534,440,693,852
W.P KL,1698,1328,1695,1655,1223,1023
Labuan,19,36,79,92,72,139
Putrajaya,16,32,47,38,32,43